Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,18,Sat,2016-12-17,20:00,Rennes,1–2,Bastia,22637,Roazhon Park,Clément Turpin,Match Report,
Regular Season,18,Sat,2016-12-17,20:00,Lorient,2–1,Saint-Étienne,11581,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,
Regular Season,18,Sat,2016-12-17,20:00,Toulouse,1–1,Nancy,15061,Stadium Municipal,Bartolomeu Varela,Match Report,
Regular Season,18,Sun,2016-12-18,14:30,Caen,3–0,Metz,16849,Stade Michel d'Ornano,François Letexier,Match Report,
Regular Season,18,Sun,2016-12-18,15:00,Nice,2–1,Dijon,29229,Stade de Nice,Benoît Millot,Match Report,
Regular Season,18,Sun,2016-12-18,17:00,Marseille,2–0,Lille,34697,Orange Vélodrome,Benoît Bastien,Match Report,
Regular Season,18,Sun,2016-12-18,20:45,Monaco,1–3,Lyon,13129,Stade Louis II.,Ruddy Buquet,Match Report,

Regular Season,19,Wed,2016-12-21,20:50,Dijon,2–0,Toulouse,8634,Stade Gaston Gérard,François Letexier,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Nantes,1–0,Montpellier,22108,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Bordeaux,0–0,Nice,27614,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Bastia,1–2,Marseille,12558,Stade Armand Césari,Benoît Millot,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Saint-Étienne,0–0,Nancy,26621,Stade Geoffroy-Guichard,Olivier Thual,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Metz,2–2,Guingamp,14091,Stade Saint-Symphorien,Sébastien Desiage,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Lyon,2–0,Angers,32098,Groupama Stadium,Franck Schneider,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Paris S-G,5–0,Lorient,44844,Parc des Princes,Johan Hamel,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Monaco,2–1,Caen,4319,Stade Louis II.,Bartolomeu Varela,Match Report,
Regular Season,19,Wed,2016-12-21,20:50,Lille,1–1,Rennes,26181,Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,

Regular Season,20,Fri,2017-01-13,20:45,Lille,1–1,Saint-Étienne,36879,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
Regular Season,20,Sat,2017-01-14,17:00,Rennes,0–1,Paris S-G,29054,Roazhon Park,Benoît Bastien,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Angers,1–1,Bordeaux,10056,Stade Raymond Kopa,Johan Hamel,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Toulouse,0–1,Nantes,11023,Stadium Municipal,Ruddy Buquet,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Nancy,1–0,Bastia,15423,Stade Marcel Picot,Karim Abed,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Lorient,3–1,Guingamp,12463,Stade Yves Allainmat - Le Moustoir,Sébastien Desiage,Match Report,
Regular Season,20,Sat,2017-01-14,20:00,Montpellier,1–1,Dijon,14539,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,20,Sun,2017-01-15,15:00,Nice,0–0,Metz,21502,Stade de Nice,Bartolomeu Varela,Match Report,
Regular Season,20,Sun,2017-01-15,17:00,Caen,3–2,Lyon,18935,Stade Michel d'Ornano,Franck Schneider,Match Report,
Regular Season,20,Sun,2017-01-15,21:00,Marseille,1–4,Monaco,43814,Orange Vélodrome,Clément Turpin,Match Report,

Regular Season,17,Wed,2017-01-18,20:00,Nantes,1–0,Caen,17818,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,

